t	x	y
169.0	-6.2749999999999995	-11.975000000000001
170.0	-6.2749999999999995	-11.975000000000001
171.0	-6.2749999999999995	-11.975000000000001
172.0	-6.2749999999999995	-11.975
173.0	-6.2749999999999995	-11.975000000000001
174.0	-6.2749999999999995	-11.975000000000001
175.0	-6.2749999999999995	-11.975000000000001
176.0	-6.2749999999999995	-11.975000000000001
177.0	-6.2749999999999995	-11.975000000000001
178.0	-6.2749999999999995	-11.975000000000001
179.0	-6.2749999999999995	-11.975000000000003
180.0	-6.2749999999999995	-11.975000000000001
181.0	-6.2749999999999995	-11.975000000000001
182.0	-6.2749999999999995	-11.975000000000001
183.0	-6.2749999999999995	-11.975000000000001
184.0	-6.274999999999999	-11.975
185.0	-6.2749999999999995	-11.975000000000001
186.0	-6.275	-11.975000000000001
187.0	-6.2749999999999995	-11.975000000000001
188.0	-6.2749999999999995	-11.975000000000001
189.0	-6.2749999999999995	-11.975000000000001
190.0	-6.2749999999999995	-11.975000000000001
191.0	-6.274999999999999	-11.975000000000003
192.0	-6.2749999999999995	-11.975000000000001
193.0	-6.2749999999999995	-11.975000000000001
194.0	-6.2749999999999995	-11.975000000000001
195.0	-6.2749999999999995	-11.975000000000001
196.0	-6.2749999999999995	-11.975000000000001
197.0	-6.2749999999999995	-11.975000000000001
198.0	-6.2749999999999995	-11.975000000000001
199.0	-6.2749999999999995	-11.975
200.0	-6.2749999999999995	-11.975000000000001
201.0	-6.2749999999999995	-11.975000000000001
202.0	-6.2749999999999995	-11.975000000000003
203.0	-6.2749999999999995	-11.975000000000001
204.0	-6.2749999999999995	-11.975000000000001
205.0	-6.2749999999999995	-11.975000000000001
206.0	-6.2749999999999995	-11.975000000000001
207.0	-6.2749999999999995	-11.975000000000001
208.0	-6.2749999999999995	-11.975000000000001
209.0	-6.274999999999999	-11.975000000000001
210.0	-6.2749999999999995	-11.975000000000001
211.0	-6.2749999999999995	-11.975000000000001
212.0	-6.2749999999999995	-11.975000000000001
213.0	-6.274999999999999	-11.975000000000001
214.0	-6.2749999999999995	-11.975000000000003
215.0	-6.2749999999999995	-11.975000000000001
216.0	-6.2749999999999995	-11.975000000000001
217.0	-6.2749999999999995	-11.975000000000001
218.0	-6.2749999999999995	-11.975000000000001
219.0	-6.2749999999999995	-11.975000000000001
220.0	-6.2749999999999995	-11.975000000000001
221.0	-6.2749999999999995	-11.975000000000001
222.0	-6.2749999999999995	-11.975000000000001
223.0	-6.2749999999999995	-11.975000000000001
224.0	-6.2749999999999995	-11.975000000000001
225.0	-6.1721651560130315	-11.975000000000001
226.0	-6.162119057168628	-11.975000000000003
227.0	-6.151080436133783	-11.975000000000003
228.0	-6.138955479402635	-11.975
229.0	-6.12564302862351	-11.975000000000001
230.0	-6.111034407690008	-11.975000000000001
231.0	-6.095013357970048	-11.975000000000001
232.0	-6.077456114313915	-11.975000000000001
233.0	-6.058231659683865	-11.975000000000001
234.0	-6.037202201422196	-11.975000000000003
235.0	-6.014223916958172	-11.975000000000001
236.0	-5.989148020643339	-11.975000000000001
237.0	-5.961822205736208	-11.975
238.0	-5.9320925154965725	-11.975000000000003
239.0	-5.899805693896968	-11.975
